City,PM2.5,PM10,NO2,O3,PM25,Temperature,Humidity,Wind,Rain
Ahmedabad,15.8,28.9,10.9,77.0,,32.9,55.0,5.6,0.0
Ahmedabad,15.8,28.9,10.9,77.0,,32.9,55.0,5.6,0.0
Ahmedabad,15.8,28.9,10.9,77.0,,33.0,55.0,3.5,0.0
Ahmedabad,15.8,28.9,10.9,77.0,,33.0,55.0,3.5,0.0
Ahmedabad,15.8,28.9,10.9,77.0,,33.0,55.0,3.5,0.0
Ahmedabad,15.8,28.9,10.9,77.0,,33.0,55.0,3.5,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,15.8,28.9,10.9,77.0,,33.0,55.0,3.5,0.0
Ahmedabad,15.8,28.9,10.9,77.0,,33.0,55.0,3.5,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.9,55.0,2.2,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
Ahmedabad,19.0,31.8,22.5,60.0,,32.6,57.0,1.1,0.0
